region,total_cells,total_area,density_mm2
AAA,22,459010.0,47.92923901440056
ACA,31,1075119.3,28.834009397840777
ACAd,10,482248.5,20.73619720952994
ACAd1,1,97793.70000000001,10.225607580038385
ACAd2/3,1,94275.79999999999,10.607175966684983
ACAd5,7,162606.2,43.04878903756437
ACAd6a,1,121190.5,8.251471856292365
ACAd6b,0,6382.3,0.0
ACAv,21,592870.8,35.420870786687416
ACAv1,5,125210.3,39.932817028631035
ACAv2/3,3,133050.59999999998,22.547812636696122
ACAv5,11,233096.7,47.19071526967134
ACAv6a,1,83901.6,11.918723838401174
ACAv6b,1,17611.6,56.78075813668265
AD,2,214523.1,9.323005308053073
AHN,101,917527.0,110.07850450177489
AI,27,926964.3,29.127335324564278
AIp,27,926964.3,29.127335324564278
AIp1,0,156896.0,0.0
AIp2/3,8,311412.4,25.689407358216947
AIp5,11,288284.8,38.156711696211524
AIp6a,8,168404.7,47.5046124009603
AIp6b,0,1966.4,0.0
AM,35,257548.90000000002,135.89652295156375
AMd,6,150845.59999999998,39.7757707218507
AMv,29,106703.3,271.7816599861485
ATN,67,943514.1,71.01112744367042
AV,18,423883.8,42.46446785652106
Adult Mouse Brain - Allen Brain Atlas V3p1,2470,46276319.1,53.37503172329884
BMA,28,333010.6,84.08140761885657
BMAa,28,333010.6,84.08140761885657
BS,1077,7097650.1,151.7403626307248
CEA,5,210088.3,23.799516679415277
CEAm,5,210088.3,23.799516679415277
CH,1193,32193436.1,37.057243479517865
CLA,3,80145.3,37.432014104382915
CM,2,4322.1,462.73802086948467
CNU,240,11384913.899999999,21.080528329687237
COA,35,322592.6,108.49597913901313
COAa,35,322592.6,108.49597913901313
CP,96,6784394.7,14.150120127887018
CTX,953,20808522.200000003,45.798543060400505
CTXpl,897,19558127.0,45.8632874201093
CTXsp,56,1250435.8,44.784386371535426
DORpm,351,2585628.0,135.7503863664843
EP,20,714959.7,27.973604666109154
EPd,4,317679.69999999995,12.591298720063008
EPv,16,397280.0,40.27386226339106
FS,11,236055.90000000002,46.59913181581142
GPe,10,1354325.4,7.383749872814908
HIP,3,24010.4,124.94585679538866
HPF,3,24010.4,124.94585679538866
HY,717,4371969.4,163.99931801901448
IA,0,21451.4,0.0
IAD,12,47558.3,252.3218870312858
IB,1077,7097650.1,151.7403626307248
IG,3,24010.4,124.94585679538866
IIn,21,358319.5,58.60691366224835
ILM,2,4322.1,462.73802086948467
In,0,11031.2,0.0
Isocortex,586,15717526.8,37.28321939301544
LHA,92,1261844.9,72.9091190208876
LSX,2,82043.7,24.37725261049904
LZ,103,1460215.1,70.53755299476083
MD,17,98699.3,172.24032997194507
MEA,29,318665.30000000005,91.00457439200314
MED,17,98699.3,172.24032997194507
MEZ,103,934475.8,110.2222229831955
MO,36,1559703.5,23.081310005395256
MOp,21,836851.5,25.094057906331052
MOp1,2,86591.4,23.096981917372858
MOp2/3,5,182450.9,27.404633246533724
MOp5,6,265811.0,22.572429282460092
MOp6a,8,281914.9,28.37735784805982
MOp6b,0,20083.3,0.0
MOs,15,722852.0,20.751135778831628
MOs1,0,125900.8,0.0
MOs2/3,7,185275.0,37.78167588719471
MOs5,3,229274.9,13.084729292216462
MOs6a,4,176599.4,22.650133579162784
MOs6b,1,5801.8,172.36030197524906
MPN,2,16948.699999999997,118.00315068412328
MTN,234,852400.5,274.5188441348873
NLOT,96,676328.0,141.94296258620076
NLOT1,25,234927.2,106.41594502467147
NLOT2,62,300138.1,206.57157488502796
